Temperature (°C),Pressure (kPa),Material Fusion Metric,Material Transformation Metric,Quality Rating
209.76270078546492,8.050855372267016,44522.21707426675,9229575.9601601,99.99997051667044
243.0378732744839,15.81206837248824,63020.76499666782,14355367.161169715,99.9857034148466
220.5526752143288,7.843130045242965,49125.950248984256,10728388.692175286,99.99975760980664
208.9766365993794,23.78608919382891,57128.88154720625,9125701.954087583,99.9999748371414
184.7309598677809,15.797812212212808,38068.20128250773,6303791.886418867,99.99999985827117
229.1788226133312,8.498306097138524,53136.69065414998,12037071.663069967,99.99878570587263
187.5174422525385,19.41285093833815,42478.6945000483,6593259.799926771,99.9999997342736
278.3546001564159,7.070943886395444,77834.81823033674,21567221.67002573,95.73272257668091
292.73255210020585,20.4328957994804,94223.14706901045,25084521.94683608,64.62359867766705
176.68830376515552,14.145782221580872,34049.372335085114,5515789.061600543,99.9999999781456
258.34500761653294,7.65323911025064,67190.409008697,17242440.859375894,99.81404216565016
205.77898395058088,5.74422072617603,42534.52695496808,8713676.070034742,99.9999868219302
213.6089122187865,24.8675598737981,61006.75534864071,9746092.970240794,99.9999368083424
285.1193276585322,10.487365801752626,82446.48226948982,23178104.35847252,88.30169759189188
114.2072116395774,24.044972441434123,26945.145281718243,1489059.2999400536,100.0
117.42585994030814,15.036726734741016,17188.68387659703,1618939.4204480425,100.0
104.04367948806514,15.06030767850963,14240.958809473148,1126055.0945087776,100.0
266.5239691095876,6.821394367442668,71352.43528383941,18932490.57320019,99.31144198408124
255.6313501899701,24.0141163767595,79195.79464939123,16704264.143523898,99.8807070075718
274.0024296493638,19.657917291001738,82673.81340702744,20570984.796207134,97.79908528620756
295.7236684465528,15.374556763191023,91086.67961684435,25861534.212648563,45.7759383574185
259.8317128433447,7.40514278147772,67918.58844253358,17541838.613767035,99.76336248007402
192.2958724505864,8.51353138976571,37594.765161753465,7110587.09507139,99.9999992349171
256.1058352572911,13.643332102835677,68129.775660402,16797846.52138619,99.87100211991432
123.65488517378664,12.24517641464434,17126.62558945919,1890598.8646248616,100.0
227.9842042655048,16.162760137426655,56199.07305316755,11849627.559456373,99.99902523965024
128.6706574818093,6.526879495144176,16834.184181122793,2130246.574119082,99.99999999999996
288.9337834099168,5.806920386366796,83678.54243460867,24120947.653404374,79.55659768172349
204.36966435001432,15.222061733801084,45294.081340644094,8535667.824982217,99.99999012909144
182.93238799810476,5.570027618581445,33637.06984229306,6121665.709177993,99.99999990598296
152.91112242092538,6.191039080203522,23619.10747958111,3575300.6903312146,99.9999999999495
254.84673788684333,12.526829163808127,66912.58799406337,16551338.437522674,99.89511926637348
191.2300664433097,6.235581394696039,36811.393151659366,6993041.620673019,99.99999939416044
213.68678977372969,12.709392532327,47714.975250417,9757214.094663138,99.99993579132152
103.75796008727104,9.83501031818873,11717.029533499155,1116931.8252999482,100.0
223.52709941517543,8.755405942181753,50635.5284926001,11168312.740572432,99.9995745407366
222.41914454448428,13.093596629725257,51715.07182394291,11002964.99486595,99.99965472249325
223.38679937495135,7.398078112625141,50306.5704893188,11147317.856264692,99.99958560220416
288.74961570292487,11.992787342385416,85101.22657292955,24074742.47094738,80.0980719873024
236.3640598206967,13.697472587332058,58437.89892719399,13204992.29282117,99.99556017167174
171.9015801147572,21.60005893920276,39627.93174219871,5079251.473065899,99.99999999310984
187.4063907598683,23.65612364964445,48359.41036851493,6581369.341461496,99.99999974090458
239.52623918545297,11.166768689324652,58765.27871994778,13742170.931690792,99.99224097956294
112.04509432585397,10.852840994808728,13832.395897265793,1406507.8888599805,100.0
233.35334308913357,16.330365485424363,58808.77826520722,12706705.563262092,99.9974088438688
234.12757392363187,7.748288528006477,55280.89692860328,12833811.704512732,99.9970214058481
142.07651221476817,11.994243694561147,21911.249791834736,2867775.009316561,99.9999999999977
125.78525953097066,6.064327583238147,16044.953645136722,1990128.9858609024,100.0
163.08567018483677,12.581362875642553,28588.448453117813,4337420.8123168405,99.99999999924444
172.74215418852452,7.2830269144622095,30226.161650692706,5154547.24393731,99.99999999153358
214.03935408357592,16.23625823604592,50092.983871045806,9805488.15710735,99.99993119799066
187.7203026924641,17.831874687913235,40909.01585786213,6614741.259500871,99.99999972189288
297.67476761184525,24.74183073353392,103756.18154356792,26376428.560256094,28.54116746574873
120.4089621496056,8.9027732451888,15203.946377567434,1745648.1839047747,100.0
141.77535121896693,9.144042976049278,20864.81585133128,2849636.420052306,99.9999999999979
132.26190357699926,23.948390371795305,31228.2213386768,2313111.8793599075,99.99999999999989
230.62166509307968,22.29281676913637,64265.20641526554,12265428.183412278,99.998420243889
150.65832050795643,17.321080988744377,27894.59759979029,3419331.9233982987,99.99999999997294
193.26215457126125,21.82814473500418,47750.67072845791,7217915.328774873,99.99999905638026
148.88511840032055,9.19384289442977,22943.904114912253,3300218.911961729,99.99999999998352
131.79391672910396,22.48057645726872,28730.78743994268,2288707.0484380084,99.9999999999999
122.07502823286104,22.34615019349281,26060.872191832525,1818700.870947868,100.0
231.26591789305468,9.962244969601253,54472.640979249474,12368909.710194524,99.9982230634556
127.63659026972276,15.167466285197596,19780.40563782468,2079110.2984963125,99.99999999999996
139.3164723360107,23.59548527782009,32545.79334815876,2703447.7353092507,99.999999999999
173.7450341321928,18.582999923349703,36604.5649674754,5244554.549661876,99.99999998921172
264.198645969587,18.21038210641481,75839.81532530086,18440978.13080637,99.52356090796918
